OBJECTID,Join_Count,TARGET_FID,PERMIT_YEAR,Class,PROJECT_DESCRIPTION,FINALED_DATE,CONTRACTOR,TOTAL_PAID,SUBAREA,NEIGHBORHOOD_AREA,Lat,Lon,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng
1,1,1,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station),2018-10-25,STRANDS ELECTRIC LLC,115,Wilburton/ne 8th St,Crossroads,47.623675,-122.146814,53,033,023603,53033023603,236.03,Census Tract 236.03,G5020,S,2028190,0,+47.6173977,-122.1508058,19036.74562
2,1,2,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage, install EVSE",2013-04-05,PUGET SOUND SOLAR LLC,105,Factoria,Somerset,47.569229,-122.156446,53,033,024901,53033024901,249.01,Census Tract 249.01,G5020,S,3183749,0,+47.5633033,-122.1575188,30570.04849
3,1,3,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), GARAGE (se#328895), ADD CIRCUIT FOR TESLA EV CHARGING",2015-09-28,SEAHURST ELECTRIC INC,58,Newcastle,Cougar Mountain / Lakemont,47.558485,-122.116934,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
4,1,4,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage, 1145081 - EV charger adjacent to electrical panel in garage",2014-07-18,PRIME ELECTRIC INC WAYNE TYRRELL,106,Newport Hills,Newport,47.5512,-122.189481,53,033,024701,53033024701,247.01,Census Tract 247.01,G5020,S,2739207,0,+47.5614775,-122.1808594,30173.28144
5,1,5,2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station), My home, Adding two 40 amp 240 V circuits dedicated for electric car chargers",2016-07-22,OWNER,213,Bridle Trails,Bridle Trails,47.634858,-122.169245,53,033,023700,53033023700,237,Census Tract 237,G5020,S,7530638,18305,+47.6327201,-122.1733574,44098.86056
6,1,6,2016,Single family,Install Vehicle Charging Station,2017-01-10,NORTHWEST ELECTRIC & SOLAR,110,Southwest Bellevue,West Bellevue,47.597961,-122.200391,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
7,1,7,2016,Single family,"A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage amd masterbedroom, 15-123554",2016-10-28,Prowire Electric,110,North Bellevue,Northwest Bellevue,47.634715,-122.195129,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
8,1,8,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-31,ELECTRI-CITY INC,112,Northeast Bellevue,Northeast Bellevue,47.621611,-122.099367,53,033,023000,53033023000,230,Census Tract 230,G5020,S,3286160,2508903,+47.6205810,-122.1031787,42037.02737
9,1,9,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-10-19,BELLEVUE ELECTRIC INC,112,Factoria,Newport,47.571642,-122.183554,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
10,1,10,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-08-22,OWNER,112,Newcastle,Cougar Mountain / Lakemont,47.544651,-122.117706,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
11,1,11,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Please call Derek 1 hour prior 206.755.6725",2016-02-25,NORTHWEST ELECTRIC & SOLAR,106,Factoria,Somerset,47.5608,-122.165334,53,033,024901,53033024901,249.01,Census Tract 249.01,G5020,S,3183749,0,+47.5633033,-122.1575188,30570.04849
