geoid,date,sum,Over 20
53033000100,2012-08-21,1,below
53033000100,2013-11-20,2,below
53033000100,2014-04-04,3,below
53033000100,2015-02-26,4,below
53033000100,2016-12-05,5,below
53033000100,2016-12-28,6,below
53033000100,2017-08-02,7,below
53033000100,2018-10-18,8,below
53033000100,2018-10-26,9,below
53033000200,2015-06-03,1,below
53033000200,2015-09-01,2,below
53033000200,2015-09-23,3,below
53033000200,2016-03-16,4,below
53033000200,2016-11-09,5,below
53033000200,2017-12-14,6,below
53033000200,2018-08-27,7,below
53033000300,2003-02-24,1,below
53033000300,2007-09-22,2,below
53033000300,2013-01-07,3,below
53033000300,2013-09-19,4,below
53033000300,2014-07-16,5,below
53033000300,2015-06-01,6,below
53033000300,2015-09-03,7,below
53033000300,2016-10-10,8,below
53033000300,2017-11-29,9,below
53033000300,2018-10-08,10,below
53033000300,2018-10-24,11,below
53033000300,2018-10-30,12,below
53033000401,2005-05-11,1,below
53033000401,2017-07-07,2,below
53033000401,2018-01-19,3,below
53033000402,2013-02-12,1,below
53033000402,2013-02-27,2,below
53033000402,2013-07-03,3,below
53033000402,2013-09-25,4,below
53033000402,2013-10-31,5,below
53033000402,2017-08-23,6,below
53033000402,2018-01-31,7,below
53033000500,2012-12-20,1,below
53033000500,2013-07-29,2,below
53033000500,2013-07-31,3,below
53033000500,2013-08-01,4,below
53033000500,2013-09-11,5,below
53033000500,2013-09-13,6,below
53033000500,2014-08-04,7,below
53033000500,2014-09-25,8,below
53033000500,2015-03-17,9,below
53033000500,2015-06-11,10,below
53033000500,2015-11-24,11,below
53033000500,2017-11-02,12,below
53033000500,2018-06-07,13,below
53033000600,2012-12-12,1,below
53033000600,2013-06-21,2,below
53033000600,2013-07-26,3,below
53033000600,2013-10-16,4,below
53033000600,2014-03-07,5,below
53033000600,2014-08-19,6,below
53033000600,2015-05-20,7,below
53033000600,2016-07-22,8,below
53033000600,2018-09-17,9,below
53033000700,2012-07-26,1,below
53033000700,2017-10-24,2,below
53033000700,2018-07-25,3,below
53033000800,2009-01-06,1,below
53033000800,2014-02-25,2,below
53033000800,2014-12-11,3,below
53033000800,2017-10-06,4,below
53033000800,2017-10-10,5,below
53033000900,2006-05-22,1,below
53033000900,2009-04-17,2,below
53033000900,2010-07-30,3,below
53033000900,2013-09-20,4,below
53033000900,2014-03-12,5,below
53033000900,2014-08-11,6,below
53033000900,2015-02-03,7,below
53033000900,2015-07-24,8,below
53033000900,2015-09-16,9,below
53033000900,2017-09-20,10,below
53033000900,2017-11-22,11,below
53033000900,2017-12-13,12,below
53033000900,2018-01-05,13,below
53033000900,2018-03-29,14,below
53033001e3,2005-03-01,1,below
53033001e3,2009-05-05,2,below
53033001e3,2011-12-08,3,below
53033001e3,2016-06-22,4,below
53033001100,2012-05-09,1,below
53033001100,2014-09-19,2,below
53033001100,2015-01-07,3,below
53033001100,2015-07-06,4,below
53033001100,2016-06-20,5,below
53033001100,2016-12-14,6,below
53033001100,2018-05-17,7,below
53033001100,2018-06-05,8,below
53033001200,2010-05-20,1,below
53033001200,2010-06-29,2,below
53033001200,2011-11-14,3,below
53033001200,2012-10-29,4,below
53033001200,2014-02-24,5,below
53033001200,2014-06-10,6,below
53033001200,2018-01-16,7,below
53033001200,2018-04-10,8,below
53033001300,2013-04-02,1,below
53033001300,2014-11-26,2,below
53033001300,2015-04-28,3,below
53033001300,2018-03-28,4,below
53033001300,2018-11-06,5,below
53033001400,2011-04-28,1,below
53033001400,2011-05-26,2,below
53033001400,2012-05-31,3,below
53033001400,2013-03-01,4,below
53033001400,2013-06-07,5,below
53033001400,2013-06-20,6,below
53033001400,2014-02-25,7,below
53033001400,2015-04-21,8,below
53033001400,2015-07-06,9,below
53033001400,2015-08-31,10,below
53033001400,2018-06-28,11,below
53033001400,2018-10-10,12,below
53033001500,2006-06-14,1,below
53033001500,2010-07-09,2,below
53033001500,2010-09-29,3,below
53033001500,2012-01-13,4,below
