geoid,year,value,sum
53033000100,2003-01-01,0,0
53033000100,2004-01-01,0,0
53033000100,2005-01-01,0,0
53033000100,2006-01-01,0,0
53033000100,2007-01-01,0,0
53033000100,2008-01-01,0,0
53033000100,2009-01-01,0,0
53033000100,2010-01-01,0,0
53033000100,2011-01-01,0,0
53033000100,2012-01-01,1,1
53033000100,2013-01-01,1,2
53033000100,2014-01-01,3,5
53033000100,2015-01-01,1,6
53033000100,2016-01-01,2,8
53033000100,2017-01-01,1,9
53033000100,2018-01-01,4,13
53033000200,2003-01-01,0,0
53033000200,2004-01-01,0,0
53033000200,2005-01-01,0,0
53033000200,2006-01-01,0,0
53033000200,2007-01-01,0,0
53033000200,2008-01-01,0,0
53033000200,2009-01-01,0,0
53033000200,2010-01-01,0,0
53033000200,2011-01-01,0,0
53033000200,2012-01-01,2,2
53033000200,2013-01-01,0,2
53033000200,2014-01-01,2,4
53033000200,2015-01-01,6,10
53033000200,2016-01-01,2,12
53033000200,2017-01-01,5,17
53033000200,2018-01-01,1,18
53033000300,2003-01-01,0,0
53033000300,2004-01-01,0,0
53033000300,2005-01-01,0,0
53033000300,2006-01-01,0,0
53033000300,2007-01-01,1,1
53033000300,2008-01-01,0,1
53033000300,2009-01-01,0,1
53033000300,2010-01-01,0,1
53033000300,2011-01-01,0,1
53033000300,2012-01-01,0,1
53033000300,2013-01-01,4,5
53033000300,2014-01-01,1,6
53033000300,2015-01-01,2,8
53033000300,2016-01-01,2,10
53033000300,2017-01-01,2,12
53033000300,2018-01-01,4,16
53033000401,2003-01-01,0,0
53033000401,2004-01-01,0,0
53033000401,2005-01-01,1,1
53033000401,2006-01-01,0,1
53033000401,2007-01-01,0,1
53033000401,2008-01-01,0,1
53033000401,2009-01-01,0,1
53033000401,2010-01-01,0,1
53033000401,2011-01-01,0,1
53033000401,2012-01-01,0,1
53033000401,2013-01-01,1,2
53033000401,2014-01-01,0,2
53033000401,2015-01-01,0,2
53033000401,2016-01-01,0,2
53033000401,2017-01-01,1,3
53033000401,2018-01-01,2,5
53033000402,2003-01-01,0,0
53033000402,2004-01-01,0,0
53033000402,2005-01-01,0,0
53033000402,2006-01-01,0,0
53033000402,2007-01-01,0,0
53033000402,2008-01-01,1,1
53033000402,2009-01-01,0,1
53033000402,2010-01-01,0,1
53033000402,2011-01-01,0,1
53033000402,2012-01-01,0,1
53033000402,2013-01-01,7,8
53033000402,2014-01-01,0,8
53033000402,2015-01-01,3,11
53033000402,2016-01-01,0,11
53033000402,2017-01-01,4,15
53033000402,2018-01-01,2,17
53033000500,2003-01-01,0,0
53033000500,2004-01-01,0,0
53033000500,2005-01-01,0,0
53033000500,2006-01-01,0,0
53033000500,2007-01-01,0,0
53033000500,2008-01-01,0,0
53033000500,2009-01-01,0,0
53033000500,2010-01-01,1,1
53033000500,2011-01-01,1,2
53033000500,2012-01-01,2,4
53033000500,2013-01-01,8,12
53033000500,2014-01-01,2,14
53033000500,2015-01-01,7,21
53033000500,2016-01-01,1,22
53033000500,2017-01-01,1,23
53033000500,2018-01-01,7,30
53033000600,2003-01-01,0,0
53033000600,2004-01-01,0,0
53033000600,2005-01-01,0,0
53033000600,2006-01-01,0,0
53033000600,2007-01-01,0,0
53033000600,2008-01-01,0,0
53033000600,2009-01-01,0,0
53033000600,2010-01-01,0,0
53033000600,2011-01-01,0,0
53033000600,2012-01-01,3,3
53033000600,2013-01-01,6,9
53033000600,2014-01-01,3,12
53033000600,2015-01-01,1,13
53033000600,2016-01-01,3,16
53033000600,2017-01-01,1,17
53033000600,2018-01-01,2,19
53033000700,2003-01-01,0,0
53033000700,2004-01-01,0,0
53033000700,2005-01-01,0,0
53033000700,2006-01-01,0,0
53033000700,2007-01-01,0,0
53033000700,2008-01-01,0,0
53033000700,2009-01-01,0,0
53033000700,2010-01-01,0,0
53033000700,2011-01-01,0,0
53033000700,2012-01-01,1,1
53033000700,2013-01-01,1,2
