Class,CompletedDate,Latitude,Longitude,Installer
Single family,2014-03-05,47.51827788,-122.25694424,WESTERN SOLAR
Single family,2008-01-24,47.52664425,-122.32205077,NORTH CITY ELECTRIC
Single family,2014-07-24,47.6849694,-122.34220151,PUGETSOUNDSOLAR
Single family,2016-10-18,47.59730347,-122.30680659,PUGETSOUNDSOLAR
Single family,2016-10-11,47.66519438,-122.33029379,SUNERGY SYSTEMS INC.
Single family,2009-09-15,47.66179019,-122.32649997,SOUND POWER INC
Single family,2017-05-11,47.55938871,-122.28932056,PUGETSOUNDSOLAR
Single family,2014-04-17,47.65150747,-122.36986198,WESTERN SOLAR
Single family,2013-08-01,47.72111742,-122.37388568,PUGETSOUNDSOLAR
Single family,2011-10-04,47.56211188,-122.29206952,PUGETSOUNDSOLAR
Single family,2017-06-05,47.51241625,-122.25547169,SOLTERRA GLOBAL LLC
Single family,2017-04-03,47.52276565,-122.3823425,NORTHWEST ELECTRIC & SOLAR LLC
Single family,2017-12-08,47.53311668,-122.38549966,WEST SEATTLE ELECTRIC & SOLAR
Single family,2017-04-27,47.62465336,-122.30495225,PUGETSOUNDSOLAR
Single family,2014-10-24,47.61052229,-122.29915757,ARTISAN ELECTRIC INC
Single family,2015-10-08,47.55355662,-122.27726778,PUGETSOUNDSOLAR
Single family,2014-12-08,47.51044636,-122.38810266,ARTISAN ELECTRIC INC
Single family,2012-04-26,47.67700206,-122.35673009,A&R SOLAR
Single family,2011-08-02,47.63928737,-122.36331568,SUNERGY SYSTEMS INC.
Single family,2013-06-14,47.56304701,-122.28148581,PUGETSOUNDSOLAR
Single family,2017-12-19,47.54375452,-122.36741477,WEST SEATTLE ELECTRIC & SOLAR
Single family,2015-04-16,47.69405953,-122.28048914,PUGETSOUNDSOLAR
Single family,2016-04-11,47.58659662,-122.39700819,ARTISAN ELECTRIC INC
Single family,2013-08-30,47.5395172,-122.38498085,EARL CHILDS
Single family,2017-01-13,47.61708398,-122.29700291,B B ELECTRIC
Single family,2018-01-24,47.60180895,-122.29700203,PUGETSOUNDSOLAR
Single family,2013-10-10,47.55316223,-122.27191002000001,PUGETSOUNDSOLAR
Single family,2013-02-22,47.67189382,-122.35875793,PUGETSOUNDSOLAR
Single family,2015-09-23,47.55061089,-122.25933956,ARTISAN ELECTRIC INC
Single family,2015-05-20,47.55751344,-122.30271719,PUGETSOUNDSOLAR
Single family,2016-06-06,47.58239532,-122.39424956,PUGETSOUNDSOLAR
Single family,2015-10-20,47.65184856,-122.33680106,PUGETSOUNDSOLAR
Single family,2016-11-16,47.56586824,-122.38112486,PUGETSOUNDSOLAR
Single family,2015-06-22,47.61131655,-122.29403197,"SMART ENERGY TODAY, INC"
Single family,2012-12-11,47.65685363,-122.3547414,EARL CHILDS
Single family,2012-04-30,47.6394297,-122.35609947,PUGETSOUNDSOLAR
Single family,2013-03-11,47.65139695,-122.27675177,AEM ELECTRIC & AUDIO/VIDEO LLC
Single family,2015-04-28,47.70269748,-122.34667534,EARL CHILDS
Single family,2016-03-31,47.52873777,-122.26139925,AVACHA ENGINEERING INC
Single family,2015-06-16,47.56686839,-122.39446933,WEST SEATTLE ELECTRIC & SOLAR
Single family,2012-05-01,47.69281963,-122.3381022,PUGETSOUNDSOLAR
Single family,2013-06-14,47.67145965,-122.39423988,PUGETSOUNDSOLAR
Single family,2012-02-14,47.68098157,-122.26551395,PUGETSOUNDSOLAR
Single family,2016-04-28,47.66559696,-122.35564299,PUGETSOUNDSOLAR
